CCAA;AÑO;SECTOR ;SEXO;Tasa de paro;%_inactivos;TASA_DE_ACTIVIDAD;%_ocup;%act_educ
            07 Castilla y León;2022;Artes, humanidades y lenguas;Hombres;2.93;77.8;60.75;51.1;2.7
            08 Castilla - La Mancha;2022;Artes, humanidades y lenguas;Hombres;15.25;78.9;70.88;60.2;1.9
            09 Cataluña;2022;Artes, humanidades y lenguas;Hombres;2.90;75.6;76.21;44.9;7.6
            10 Comunitat Valenciana;2022;Artes, humanidades y lenguas;Hombres;17.11;76.7;60.19;50.8;4.1
            11 Extremadura;2022;Artes, humanidades y lenguas;Hombres;10.90;80.7;54.92;62.8;2.5
            12 Galicia;2022;Artes, humanidades y lenguas;Hombres;10.20;78.0;75.91;47.1;4.3
            13 Madrid, Comunidad de;2022;Artes, humanidades y lenguas;Hombres;13.14;69.1;72.92;40.1;3.3
            14 Murcia, Región de;2022;Artes, humanidades y lenguas;Hombres;9.18;75.3;61.31;54.4;3.0
            15 Navarra, Comunidad Foral de;2022;Artes, humanidades y lenguas;Hombres;0.00;72.6;83.76;34.2;3.5
            16 País Vasco;2022;Artes, humanidades y lenguas;Hombres;4.02;65.2;68.72;29.1;3.5
            17 Rioja, La;2022;Artes, humanidades y lenguas;Hombres;0.00;76.4;56.23;51.8;3.2
            18 Ceuta;2022;Artes, humanidades y lenguas;Hombres;63.20;78.6;87.72;80.4;10.7
            19 Melilla;2022;Artes, humanidades y lenguas;Hombres;73.75;69.8;100.00;46.0;6.9
            01 Andalucía;2022;Ciencias sociales, periodismo y documentación;Hombres;29.88;73.9;77.38;57.2;2.0
            02 Aragón;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;75.6;82.18;43.8;2.1
            03 Asturias, Principado de;2022;Ciencias sociales, periodismo y documentación;Hombres;8.97;74.7;70.93;35.9;2.9
            04 Balears, Illes;2022;Ciencias sociales, periodismo y documentación;Hombres;8.91;73.5;86.30;58.9;2.5
            05 Canarias;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;73.6;100.00;56.2;1.7
            06 Cantabria;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;72.6;38.63;45.1;0.9
            07 Castilla y León;2022;Ciencias sociales, periodismo y documentación;Hombres;5.54;78.6;74.06;49.3;1.7
            08 Castilla - La Mancha;2022;Ciencias sociales, periodismo y documentación;Hombres;19.68;83.0;80.64;56.7;2.2
            09 Cataluña;2022;Ciencias sociales, periodismo y documentación;Hombres;1.42;77.5;83.73;46.5;2.8
            10 Comunitat Valenciana;2022;Ciencias sociales, periodismo y documentación;Hombres;6.79;78.0;78.95;53.4;2.9
            11 Extremadura;2022;Ciencias sociales, periodismo y documentación;Hombres;20.31;78.7;100.00;63.3;2.3
            12 Galicia;2022;Ciencias sociales, periodismo y documentación;Hombres;7.38;81.0;72.50;48.0;3.9
            13 Madrid, Comunidad de;2022;Ciencias sociales, periodismo y documentación;Hombres;2.19;71.5;78.80;43.6;4.0
            14 Murcia, Región de;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;72.1;47.75;58.5;1.0
            15 Navarra, Comunidad Foral de;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;72.2;89.45;34.4;1.9
            16 País Vasco;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;66.7;73.19;32.4;2.1
            17 Rioja, La;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;74.6;100.00;54.5;2.9
            18 Ceuta;2022;Ciencias sociales, periodismo y documentación;Hombres;0.00;73.3;100.00;56.6;2.9
            19 Melilla;2022;Ciencias sociales, periodismo y documentación;Hombres;..;63.9;..;59.4;..
            01 Andalucía;2022; Negocios, administración y derecho;Hombres;8.20;74.9;79.60;57.7;16.4
            02 Aragón;2022; Negocios, administración y derecho;Hombres;3.61;73.6;74.88;43.9;13.9
            03 Asturias, Principado de;2022; Negocios, administración y derecho;Hombres;8.56;73.8;83.21;39.0;12.9
            04 Balears, Illes;2022; Negocios, administración y derecho;Hombres;6.29;81.4;84.36;57.6;16.5
            05 Canarias;2022; Negocios, administración y derecho;Hombres;12.33;77.6;75.03;56.8;15.7
            06 Cantabria;2022; Negocios, administración y derecho;Hombres;11.82;70.6;74.21;44.2;12.4
            07 Castilla y León;2022; Negocios, administración y derecho;Hombres;5.25;77.7;81.81;50.3;14.8
            08 Castilla - La Mancha;2022; Negocios, administración y derecho;Hombres;6.61;81.7;86.95;62.2;16.2
            09 Cataluña;2022; Negocios, administración y derecho;Hombres;4.30;76.6;78.44;47.0;14.6
            10 Comunitat Valenciana;2022; Negocios, administración y derecho;Hombres;4.79;78.0;76.88;52.3;16.9
            11 Extremadura;2022; Negocios, administración y derecho;Hombres;7.26;79.7;84.42;61.2;16.8
            12 Galicia;2022; Negocios, administración y derecho;Hombres;5.93;82.1;76.78;51.0;14.5
            13 Madrid, Comunidad de;2022; Negocios, administración y derecho;Hombres;10.32;70.7;82.38;42.1;19.7
            14 Murcia, Región de;2022; Negocios, administración y derecho;Hombres;7.20;75.6;84.60;55.2;22.3
            15 Navarra, Comunidad Foral de;2022; Negocios, administración y derecho;Hombres;10.48;76.6;64.22;38.4;11.5
            16 País Vasco;2022; Negocios, administración y derecho;Hombres;2.32;67.7;78.92;29.8;18.7
            17 Rioja, La;2022; Negocios, administración y derecho;Hombres;3.81;78.7;85.58;49.6;16.7
            18 Ceuta;2022; Negocios, administración y derecho;Hombres;0.00;78.1;100.00;51.3;12.8
            19 Melilla;2022; Negocios, administración y derecho;Hombres;0.00;73.6;71.64;51.7;28.1
            01 Andalucía;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;13.87;74.8;67.20;57.4;3.4
            02 Aragón;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;79.5;72.87;47.2;4.0
            03 Asturias, Principado de;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;74.6;48.39;42.7;1.7
            04 Balears, Illes;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;75.2;77.37;53.9;3.0
            05 Canarias;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;29.59;73.9;79.07;57.4;3.6
            06 Cantabria;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;14.52;73.1;75.87;41.5;5.5
            07 Castilla y León;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;10.01;80.3;77.45;53.5;3.0
            08 Castilla - La Mancha;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;8.57;82.9;80.77;60.4;4.3
            09 Cataluña;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;8.25;76.9;77.69;49.4;4.1
            10 Comunitat Valenciana;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;14.66;78.0;79.42;53.3;3.3
            11 Extremadura;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;13.81;84.8;88.50;65.1;3.8
            12 Galicia;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;12.84;80.9;69.44;49.9;3.3
            13 Madrid, Comunidad de;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;1.75;68.3;85.06;41.7;4.3
            14 Murcia, Región de;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;18.99;77.9;67.79;57.8;1.8
            15 Navarra, Comunidad Foral de;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;72.9;83.45;37.3;3.7
            16 País Vasco;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;11.58;69.8;68.19;37.0;3.7
            17 Rioja, La;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;80.1;86.86;50.8;4.8
            18 Ceuta;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;0.00;74.1;48.63;67.1;2.4
            19 Melilla;2022;Ciencias naturales, químicas, físicas y matemáticas;Hombres;..;72.4;..;48.8;..
            01 Andalucía;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;10.85;75.6;87.40;57.2;8.2
            02 Aragón;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.05;75.3;89.84;51.5;7.4
            03 Asturias, Principado de;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;3.36;74.0;82.36;40.3;5.9
            04 Balears, Illes;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;2.45;78.9;79.98;63.9;7.3
            05 Canarias;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;16.91;74.5;88.09;56.8;7.7
            06 Cantabria;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;4.88;75.0;92.30;45.4;7.4
            07 Castilla y León;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.92;80.1;82.34;50.6;5.5
            08 Castilla - La Mancha;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;9.02;83.2;83.50;61.9;7.9
            09 Cataluña;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;6.11;79.5;91.65;50.1;9.5
            10 Comunitat Valenciana;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;4.90;77.2;88.69;55.9;7.4
            11 Extremadura;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;7.04;82.5;89.15;63.9;5.1
            12 Galicia;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;14.25;81.3;89.86;51.2;8.4
            13 Madrid, Comunidad de;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;11.70;73.5;92.25;43.1;12.1
            14 Murcia, Región de;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;20.55;79.2;87.17;56.6;6.6
            15 Navarra, Comunidad Foral de;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;13.00;76.3;79.91;39.6;6.5
            16 País Vasco;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;2.50;63.9;86.94;33.6;6.4
            17 Rioja, La;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;15.95;83.1;71.40;49.9;3.3
            18 Ceuta;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;84.9;70.71;54.5;5.8
            19 Melilla;2022;Tecnologías de la información y las comunicaciones (TIC);Hombres;0.00;80.7;76.34;68.0;5.4
            01 Andalucía;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.02;1.9;78.51;3.1;26.5
            02 Aragón;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;3.85;1.8;75.80;3.0;31.2
            03 Asturias, Principado de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.74;1.8;73.96;1.5;36.5
            04 Balears, Illes;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.75;1.6;79.47;1.8;24.8
            05 Canarias;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;14.84;1.7;70.99;1.5;20.5
            06 Cantabria;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.64;1.4;78.98;3.2;35.9
            07 Castilla y León;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.05;2.1;74.93;2.3;33.3
            08 Castilla - La Mancha;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.31;1.4;81.65;2.0;29.5
            09 Cataluña;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.36;1.5;82.34;2.2;29.2
            10 Comunitat Valenciana;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;13.49;2.6;76.55;2.3;26.5
            11 Extremadura;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;10.64;3.0;90.12;2.0;27.0
            12 Galicia;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.15;1.5;79.32;1.9;29.8
            13 Madrid, Comunidad de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;6.67;2.4;77.52;1.1;22.8
            14 Murcia, Región de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;7.61;1.1;82.42;2.0;22.2
            15 Navarra, Comunidad Foral de;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;4.14;1.4;82.41;3.1;36.9
            16 País Vasco;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.08;1.0;68.31;3.1;39.6
            17 Rioja, La;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;8.02;2.9;81.63;1.8;39.1
            18 Ceuta;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;0.00;4.6;34.78;2.2;0.0
            19 Melilla;2022;"Mecánica, electrónica y otra formación técnica; industria y construcción";Hombres;0.00;3.4;66.17;2.9;25.8
            01 Andalucía;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;26.10;1.9;84.03;2.4;2.3
            02 Aragón;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;6.76;1.5;80.87;2.4;5.8
            03 Asturias, Principado de;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;12.03;1.8;89.93;3.4;4.1
            04 Balears, Illes;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.9;88.61;2.5;1.5
            05 Canarias;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;9.10;2.0;72.33;2.3;2.5
            06 Cantabria;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.7;92.29;2.2;1.8
            07 Castilla y León;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;3.54;2.0;79.59;3.3;4.4
            08 Castilla - La Mancha;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;27.57;2.5;71.68;1.7;1.3
            09 Cataluña;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;7.76;0.8;78.20;1.4;1.4
            10 Comunitat Valenciana;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;9.70;1.5;71.98;2.0;2.4
            11 Extremadura;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;4.59;3.2;95.57;2.0;3.6
            12 Galicia;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;2.41;1.8;68.73;2.5;2.8
            13 Madrid, Comunidad de;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;18.79;1.6;63.99;2.4;0.6
            14 Murcia, Región de;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;1.6;95.19;2.9;3.9
            15 Navarra, Comunidad Foral de;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;4.28;2.4;73.34;3.1;4.3
            16 País Vasco;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;20.42;1.4;94.56;2.6;2.4
            17 Rioja, La;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;0.00;2.5;81.43;1.9;1.6
            18 Ceuta;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;..;5.3;..;0.0;..
            19 Melilla;2022;Agricultura, ganadería, pesca, silvicultura y veterinaria;Hombres;..;2.2;..;4.5;..
            01 Andalucía;2022;Salud y servicios sociales;Hombres;7.95;1.9;78.62;2.7;5.5
            02 Aragón;2022;Salud y servicios sociales;Hombres;10.99;0.8;84.17;2.1;4.8
            03 Asturias, Principado de;2022;Salud y servicios sociales;Hombres;0.00;1.1;78.04;2.6;6.9
            04 Balears, Illes;2022;Salud y servicios sociales;Hombres;13.14;0.8;83.71;0.9;4.3
            05 Canarias;2022;Salud y servicios sociales;Hombres;3.93;2.8;83.14;3.0;6.9
            06 Cantabria;2022;Salud y servicios sociales;Hombres;0.00;2.0;75.12;2.1;6.1
            07 Castilla y León;2022;Salud y servicios sociales;Hombres;8.27;2.3;70.01;2.2;4.4
            08 Castilla - La Mancha;2022;Salud y servicios sociales;Hombres;5.87;2.7;78.66;1.8;4.5
            09 Cataluña;2022;Salud y servicios sociales;Hombres;4.73;0.8;79.61;1.0;5.1
            10 Comunitat Valenciana;2022;Salud y servicios sociales;Hombres;11.26;1.5;83.08;2.3;7.2
            11 Extremadura;2022;Salud y servicios sociales;Hombres;3.61;2.0;75.79;2.4;7.5
            12 Galicia;2022;Salud y servicios sociales;Hombres;5.25;1.5;77.72;1.6;6.1
            13 Madrid, Comunidad de;2022;Salud y servicios sociales;Hombres;21.98;1.3;77.39;1.7;3.8
            14 Murcia, Región de;2022;Salud y servicios sociales;Hombres;12.12;2.1;76.07;1.9;5.8
            15 Navarra, Comunidad Foral de;2022;Salud y servicios sociales;Hombres;0.00;0.6;84.24;1.0;5.3
            16 País Vasco;2022;Salud y servicios sociales;Hombres;5.18;0.8;70.26;2.1;3.2
            17 Rioja, La;2022;Salud y servicios sociales;Hombres;13.40;2.5;68.56;3.7;2.3
            18 Ceuta;2022;Salud y servicios sociales;Hombres;8.18;2.4;70.20;2.7;14.7
            19 Melilla;2022;Salud y servicios sociales;Hombres;0.00;2.7;64.17;6.4;4.7
            01 Andalucía;2022;Servicios;Hombres;13.57;2.6;78.99;2.8;5.3
            02 Aragón;2022;Servicios;Hombres;19.71;1.2;84.17;2.6;5.4
            03 Asturias, Principado de;2022;Servicios;Hombres;9.43;1.2;72.86;4.4;5.1
            04 Balears, Illes;2022;Servicios;Hombres;32.46;1.7;74.63;1.4;5.7
            05 Canarias;2022;Servicios;Hombres;14.80;2.2;68.81;2.0;7.4
            06 Cantabria;2022;Servicios;Hombres;0.00;2.4;86.71;3.1;4.3
            07 Castilla y León;2022;Servicios;Hombres;12.67;1.8;81.84;3.5;3.8
            08 Castilla - La Mancha;2022;Servicios;Hombres;18.10;1.7;83.41;2.1;3.6
            09 Cataluña;2022;Servicios;Hombres;9.87;0.8;91.93;1.4;3.5
            10 Comunitat Valenciana;2022;Servicios;Hombres;21.89;1.4;64.58;2.1;4.0
            11 Extremadura;2022;Servicios;Hombres;11.39;3.2;80.45;3.2;4.5
            12 Galicia;2022;Servicios;Hombres;11.08;1.3;81.41;2.4;6.0
            13 Madrid, Comunidad de;2022;Servicios;Hombres;7.51;2.2;68.38;2.2;2.4
            14 Murcia, Región de;2022;Servicios;Hombres;36.95;3.4;71.22;2.6;3.8
            15 Navarra, Comunidad Foral de;2022;Servicios;Hombres;10.13;1.1;100.00;1.9;3.4
            16 País Vasco;2022;Servicios;Hombres;7.92;1.1;68.78;2.6;2.6
            17 Rioja, La;2022;Servicios;Hombres;0.00;2.0;100.00;1.2;2.5
            18 Ceuta;2022;Servicios;Hombres;0.00;4.3;100.00;6.6;4.4
            19 Melilla;2022;Servicios;Hombres;0.00;4.4;100.00;5.6;3.6
            01 Andalucía;2022;Sectores desconocidos o no especificados;Hombres;28.90;2.0;23.30;2.0;0.5
            02 Aragón;2022;Sectores desconocidos o no especificados;Hombres;0.00;0.9;69.44;2.1;0.5
            03 Asturias, Principado de;2022;Sectores desconocidos o no especificados;Hombres;100.00;1.4;37.46;3.1;0.5
            04 Balears, Illes;2022;Sectores desconocidos o no especificados;Hombres;0.00;1.3;53.82;0.7;0.0
            05 Canarias;2022;Sectores desconocidos o no especificados;Hombres;8.41;1.2;43.99;1.6;2.4
            06 Cantabria;2022;Sectores desconocidos o no especificados;Hombres;0.00;2.4;28.87;2.6;0.7
            07 Castilla y León;2022;Sectores desconocidos o no especificados;Hombres;5.34;2.5;39.33;1.8;0.7
            08 Castilla - La Mancha;2022;Sectores desconocidos o no especificados;Hombres;53.17;1.7;42.60;2.4;0.6
            09 Cataluña;2022;Sectores desconocidos o no especificados;Hombres;22.75;0.8;39.72;0.9;0.6
            10 Comunitat Valenciana;2022;Sectores desconocidos o no especificados;Hombres;0.00;1.5;15.36;1.7;0.2
            11 Extremadura;2022;Sectores desconocidos o no especificados;Hombres;14.40;1.9;23.25;3.7;1.2
            12 Galicia;2022;Sectores desconocidos o no especificados;Hombres;19.11;1.1;17.90;2.0;0.2
            13 Madrid, Comunidad de;2022;Sectores desconocidos o no especificados;Hombres;0.00;0.8;23.96;2.0;0.2
            14 Murcia, Región de;2022;Sectores desconocidos o no especificados;Hombres;41.39;2.5;62.76;2.9;0.4
            15 Navarra, Comunidad Foral de;2022;Sectores desconocidos o no especificados;Hombres;29.98;1.4;100.00;2.3;0.8
            16 País Vasco;2022;Sectores desconocidos o no especificados;Hombres;13.16;1.2;49.35;2.9;0.6
            17 Rioja, La;2022;Sectores desconocidos o no especificados;Hombres;0.00;2.4;65.11;2.2;0.3
            18 Ceuta;2022;Sectores desconocidos o no especificados;Hombres;0.00;6.5;40.98;9.0;1.9
            19 Melilla;2022;Sectores desconocidos o no especificados;Hombres;0.00;2.7;28.88;4.0;1.9
            01 Andalucía;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;21.47;2.0;58.07;1.7;15.6
            02 Aragón;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;12.33;1.2;51.18;1.2;15.6
            03 Asturias, Principado de;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;15.09;0.9;39.67;3.8;16.6
            04 Balears, Illes;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;19.52;1.9;61.78;1.6;23.1
            05 Canarias;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;29.18;1.1;54.16;2.0;23.1
            06 Cantabria;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;13.60;1.0;46.80;2.7;17.7
            07 Castilla y León;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;11.59;2.0;47.36;1.8;14.7
            08 Castilla - La Mancha;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;13.97;1.5;59.71;2.4;20.7
            09 Cataluña;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;12.67;1.0;52.73;1.1;20.0
            10 Comunitat Valenciana;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;17.12;1.8;52.96;1.9;13.3
            11 Extremadura;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;16.68;1.9;54.67;2.3;15.1
            12 Galicia;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;12.86;1.3;45.52;1.7;15.4
            13 Madrid, Comunidad de;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;15.85;0.9;57.65;1.7;25.1
            14 Murcia, Región de;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;12.31;1.4;60.01;1.2;14.3
            15 Navarra, Comunidad Foral de;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;16.28;0.9;47.65;2.4;15.5
            16 País Vasco;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;15.21;0.6;41.77;1.3;10.9
            17 Rioja, La;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;8.26;0.7;56.05;2.2;17.4
            18 Ceuta;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;37.15;1.1;56.48;5.3;32.2
            19 Melilla;2021;Formación general, formación básica de adultos y habilidades personales;Hombres;18.22;5.7;62.40;4.5;9.9
            01 Andalucía;2021;Educación;Hombres;15.17;1.3;68.83;2.7;12.1
            02 Aragón;2021;Educación;Hombres;5.99;1.1;72.69;1.0;8.5
            03 Asturias, Principado de;2021;Educación;Hombres;0.00;2.5;64.79;2.6;14.5
